section name,section type,size
.text.hci_init_read_local_support_features_cb,text,16
.text.hci_init_read_local_extended_features_cb,text,56
.text.hci_init_read_local_name_cb,text,24
.text.hci_init_le_read_buffer_size_cb,text,96
.text.controller_init_callback,text,60
.text.hci_init_le_read_local_supported_features_cb,text,112
.text.hci_acl_nack_set.part.3,text,48
.text.hci_transport_init,text,104
.text.hci_sco_transmit,text,16
.text.get_transport_by_handle,text,46
.text.hci_get_acl_classic_credits,text,12
.text.hci_get_acl_le_credits,text,12
.text.hci_read_buf_size_event_handle,text,40
.text.hci_init_read_buffer_size_cb,text,34
.text.controller_init,text,80
.text.hci_acl_credits_check,text,56
.text.hci_process_unack_tx,text,220
.text.hci_acl_nack_set,text,68
.text.hci_data_send,text,196
.text.hci_command_transmit,text,76
.text.hci_init_read_buffer_size,text,72
.text.hci_init_le_read_buffer_size,text,72
.text.hci_init_le_read_local_supported_features,text,72
.text.hci_init_read_address,text,72
.text.hci_init_read_local_version_information,text,72
.text.hci_init_write_default_erroneous_data_reporting,text,44
.text.hci_init_write_voice_setting,text,44
.text.hci_init_read_local_support_features,text,40
.text.hci_init_read_local_extended_features_page2,text,44
.text.hci_init_read_local_extended_features_page0,text,44
.text.hci_init_read_local_extended_features_page1,text,44
.text.hci_init_write_simple_pairing_mode,text,44
.text.hci_init_write_extended_inquiry_response,text,112
.text.hci_init_write_inquiry_mode,text,60
.text.hci_init_write_page_scan_type,text,44
.text.hci_init_write_inquiry_scan_type,text,44
.text.hci_init_write_class_of_device,text,48
.text.hci_init_le_set_random_address,text,104
.text.hci_init_change_local_name,text,48
.text.hci_init_read_local_name,text,40
.text.hci_init_set_event_mask,text,56
.text.hci_init_set_le_event_mask,text,56
.text.hci_init_write_le_host_supported,text,44
.text.hci_init_write_simple_pairing_debugmode,text,56
.text.controller_reset,text,80
.text.hci_acl_transmit,text,10
.text.hci_num_cmd_packets_handle,text,152
.text.hci_num_acl_packets_handle,text,180
.text.hci_add_credit_entity,text,108
.rodata.__func__.13722,rodata,32
.rodata.controller_init.str1.1,rodata,40
.rodata.controller_reset.str1.1,rodata,18
.rodata.hci_data_send.str1.1,rodata,50
.rodata.hci_init_cmd_list,rodata,200
.rodata.hci_init_le_read_buffer_size.str1.1,rodata,22
.rodata.hci_init_le_read_buffer_size_cb.str1.1,rodata,31
.rodata.hci_init_le_read_local_supported_features.str1.1,rodata,34
.rodata.hci_init_le_read_local_supported_features_cb.str1.1,rodata,38
.rodata.hci_init_read_address.str1.1,rodata,21
.rodata.hci_init_read_buffer_size.str1.1,rodata,19
.rodata.hci_init_read_local_version_information.str1.1,rodata,33
.rodata.hci_transport_init.str1.1,rodata,5
.text.host_hfp_sdp_done_cb,text,2
.text.host_hfp_bonding_done_cb,text,4
.text.host_hfp_disconnect_all_handle,text,48
.text.host_hfp_speaker_gain_ind_cb,text,10
.text.host_hfp_get_clcc_timer,text,8
.text.host_hfp_data_ind_cb,text,100
.text.host_hfp_codec_ind_cb,text,8
.text.host_get_hfp_adp_state,text,36
.text.host_get_hfp_device_info,text,56
.text.host_hfp_connect_req_cb,text,108
.text.host_hfp_call_status_ind_cb,text,380
.text.host_hfp_call_clcc_cnf_cb,text,2
.text.host_hfp_ring_ind_cb,text,144
.text.host_get_hfp_idle_device,text,36
.text.host_connect_hfp,text,96
.text.host_disconnect_hfp,text,42
.text.host_hfp_call_answer_req,text,10
.text.host_hfp_multi_call_req,text,34
.text.host_hfp_call_req,text,40
.text.host_hfp_terminal_call_req,text,8
.text.host_hfp_disconnect_all,text,28
.text.host_hfp_send_raw_data,text,28
.text.host_hfp_send_speaker_gain,text,10
.text.host_hfp_send_mic_gain,text,10
.text.host_hfp_update_indicator,text,4
.text.host_hfp_set_voice_setting,text,32
.text.host_hfp_connect_ind_cb,text,160
.text.host_hfp_disconnect_ind_cb,text,60
.text.host_hfp_register_hf_sdp,text,6
.text.host_hfp_msg_handle,text,40
.text.host_hfp_init,text,56
.text.host_hfp_free,text,32
.text.bt_hfp_send_nrec,text,22
.text.host_hfp_sco_connect_req,text,10
.text.host_hfp_notify_indicators_change_req,text,12
.rodata.hfp_msg_hdlr_table,rodata,88
.rodata.host_hfp_data_ind_cb.str1.1,rodata,9
.text.hf_at_read_number,text,40
.text.hf_at_decode_command,text,288
.text.hf_at_write_number,text,72
.text.hf_at_send,text,380
.rodata.hfp_at_codes,rodata,212
.text.hf_brsf_timer,text,32
.text.hf_get_device_info,text,72
.text.hf_get_idle_device,text,64
.text.hfp_connect_slc,text,112
.text.hf_device_info_reset,text,82
.text.hf_add_new_device,text,22
.text.hf_accept_slc,text,264
.text.hf_reject_slc,text,58
.text.hf_service_discover,text,186
.text.hf_connect_slc,text,168
.text.hf_release_slc,text,96
.text.hfp_slc_setup_timeout,text,108
.text.hf_clean_op_code,text,20
.text.hf_send_raw_data,text,276
.text.hf_send_mic_gain,text,36
.text.hf_send_speaker_gain,text,36
.text.hf_send_button_press,text,34
.text.hf_call_answer,text,58
.text.hfp_initialise,text,72
.text.hf_activate,text,96
.text.hfp_sdp_search_callback,text,452
.text.hfp_rfcomm_connect_cnf,text,392
.text.hfp_rfcomm_flowctrl,text,88
.text.hfp_rfcomm_connect_ind,text,236
.text.hfp_rfcomm_disconnect_ind,text,136
.text.bt_hfp_layer_ctrl,text,160
.text.bt_hfp_module_msg_dispatch,text,772
.text.host_exit_sniff,text,38
.rodata.__func__.12788,rodata,24
.rodata.attribute_hfp,rodata,96
.rodata.attribute_hfp_lang,rodata,36
.rodata.attribute_hfp_profile,rodata,12
.rodata.attribute_hfp_profile_list,rodata,24
.rodata.attribute_hfp_service_class,rodata,24
.rodata.attribute_hsp,rodata,96
.rodata.attribute_hsp_profile,rodata,12
.rodata.attribute_hsp_profile_list,rodata,24
.rodata.attribute_hsp_service_class,rodata,24
.rodata.hf_send_raw_data.str1.1,rodata,8
.rodata.hfp_sdp_search_callback.str1.1,rodata,48
.rodata.hfp_service_name,rodata,17
.rodata.hsp_service_name,rodata,9
.text.hf_redail_confirm_status_clean,text,16
.text.hf_send_dtmf_tone,text,96
.text.hf_send_binp,text,52
.text.hf_send_reject_call_cmd,text,34
.text.hf_retrieve_supported_indicators,text,38
.text.hf_set_call_accept,text,14
.text.hf_call_reject,text,42
.text.handle_rx_ciev,text,400
.text.handle_rx_ring,text,52
.text.handle_rx_binp,text,62
.text.handle_rx_clip,text,140
.text.hf_check_call_active,text,68
.text.handle_rx_chld,text,20
.text.hf_call_accept,text,82
.text.hf_send_call_setup,text,312
.text.hf_enable_xapl_command,text,52
.text.hf_activate_voice_recognition,text,44
.text.hf_deactivate_voice_recognition,text,50
.text.hf_call_release,text,92
.text.hf_enable_called_waiting,text,38
.text.hf_deactivate_nr_ec,text,38
.text.hf_activate_clip,text,38
.text.hf_send_call_hold_test_command,text,38
.text.hf_send_bind_read_supported_indicators,text,38
.text.hf_send_bind_read_indicators_status,text,38
.text.hf_get_indicator_status,text,38
.text.hf_send_supported_indicators_to_ag,text,56
.text.handle_ok_command,text,888
.text.hf_multiparty_call_handling,text,40
.text.hf_get_clcc,text,34
.text.hf_send_bcc,text,34
.text.hf_send_set_link_timeout,text,40
.text.hf_notify_indicators_status_change_to_ag,text,46
.text.handle_rx_cnum,text,40
.text.hf_hs_handle_at_from_ag,text,1736
.text.hf_get_remote_support_feature,text,12
.text.hf_get_bvra_flag,text,14
.rodata.handle_ok_command.str1.1,rodata,17
.rodata.hf_enable_xapl_command.str1.1,rodata,27
.rodata.hf_hs_handle_at_from_ag.str1.1,rodata,45
.rodata.hf_send_call_setup.str1.1,rodata,9
.rodata.hf_send_supported_indicators_to_ag.str1.1,rodata,14
.text.hfp_if_init,text,28
.text.app_hfp_send_nrec,text,32
.text.app_hfp_sco_connect,text,56
.text.app_hfp_notify_indicators_change,text,56
.text.app_connect_hfp,text,56
.text.app_disconnect_hfp,text,32
.text.app_hfp_call_answer_req,text,52
.text.app_hfp_reject_call_req,text,48
.text.app_hfp_three_way_calling_req,text,56
.text.app_hfp_call_req,text,72
.text.app_hfp_audio_connect,text,52
.text.app_hfp_set_voice_recognition,text,44
.text.app_hfp_audio_disconnect,text,52
.text.app_hfp_send_vol,text,60
.text.app_hfp_send_mic_vol,text,60
.text.app_hfp_get_remote_feature,text,4
.text.app_find_hfp_device,text,88
.text.app_find_active_hfp_device,text,48
.text.app_get_hfp_call_status,text,40
.text.app_hfp_send_raw_data,text,72
.text.app_hfp_send_battery,text,108
.text.hfp_if_connection_state_chenged,text,20
.text.hfp_if_audio_state_callback,text,20
.text.hfp_if_call_callback,text,20
.text.hfp_if_callsetup_callback,text,20
.text.hfp_if_callheld_callback,text,20
.text.hfp_if_battery_level_callback,text,20
.text.hfp_if_network_signal_callback,text,20
.text.hfp_if_network_state_callback,text,20
.text.hfp_if_ring_indication_callback,text,20
.text.hfp_if_volume_change_callback,text,20
.text.hfp_if_cmd_response_callback,text,20
.text.hfp_if_codec_type_callback,text,20
.text.hfp_if_atcmd_response_callback,text,20
.text.get_bthfp_interface,text,8
.rodata.app_hfp_send_battery.str1.1,rodata,24
.rodata.bthfp_int_interface_t,rodata,72
.text.host_buf_free,text,8
.text.host_buf_reserve_header,text,22
.text.host_buf_release_header,text,16
.text.bt_host_ll_add,text,48
.text.bt_host_ll_remove,text,82
.text.bt_host_ll_search,text,54
.text.bt_host_ll_traverse,text,24
.text.bt_host_ll_remove_all,text,44
.text.bthost_message_initialise,text,28
.text.host_send_message,text,132
.text.bthost_get_message_length,text,40
.text.bthost_get_front_message,text,56
.rodata.host_send_message.str1.1,rodata,75
.text.uki_timer_initialise,text,116
.text.uki_timer_reset,text,36
.text.uki_main_executer_timer_callback,text,44
.text.uki_timer_delist,text,84
.text.uki_cancel_timer,text,52
.text.host_set_first_timer_flag,text,12
.text.uki_timer_enlist,text,164
.text.uki_timer_create,text,116
.text.uki_change_timer,text,68
.text.uki_handle_expired_timers,text,168
.rodata.uki_timer_initialise.str1.1,rodata,66
.text.host_l2cap_acl_exists,text,44
.text.host_l2cap_acl_find_handle,text,36
.text.host_l2cap_acl_alloc_link,text,124
.text.host_l2cap_acl_free_link,text,76
.text.host_l2cap_acl_get_bd_addr,text,36
.text.host_l2cap_acl_timer_expired,text,170
.text.bt_l2cap_acl_start_rtx_timer,text,36
.text.bt_l2cap_acl_disable_rtx_timer,text,22
.text.bt_l2cap_get_write_buffer,text,72
.text.bt_l2cap_free_write_buffer,text,4
.text.host_l2cap_chn_cfg_timer_expired,text,32
.text.host_l2cap_chn_tid2channel,text,48
.text.host_l2cap_chn_handle_in_use,text,60
.text.host_l2cap_disconnect_req_timeout,text,44
.text.l2cap_chn_get_p_channel,text,96
.text.host_l2cap_chn_alloc_channel,text,88
.text.l2cap_alloc_fixed_channel,text,188
.text.l2cap_free_fixed_channel,text,104
.text.host_l2cap_chn_free_channel,text,188
.text.host_l2cap_chn_free_channels_on_handle,text,192
.text.host_l2cap_chn_timer_expired,text,152
.text.host_l2cap_chn_set_qos,text,78
.text.bt_l2cap_chn_start_rtx_timer,text,48
.text.host_l2cap_chn_start_cfg_timer,text,32
.text.bt_l2cap_chn_start_ertx_timer,text,44
.text.bt_l2cap_chn_disable_rtx_timer,text,30
.text.host_l2cap_chn_stop_cfg_timer,text,22
.rodata.__func__.11381,rodata,26
.rodata.__func__.11385,rodata,25
.rodata.l2cap_alloc_fixed_channel.str1.1,rodata,37
.rodata.l2cap_free_fixed_channel.str1.1,rodata,25
.text.host_l2cap_config_helper_connection_cmp,text,8
.text.host_l2cap_config_helper_cid_cmp,text,18
.text.host_l2cap_config_remove_all_inst_helper,text,12
.text.host_l2cap_config_helper_startup,text,16
.text.host_l2cap_config_helper_remove_connection_by_conn,text,52
.text.host_l2cap_config_helper_add_connection,text,40
.text.l2cap_connect_and_config,text,148
.text.l2cap_connect_response_and_config,text,144
.text.host_l2cap_config_helper_lookup_connection,text,52
.text.l2cap_configure_helper_indication,text,220
.text.l2cap_configure_helper_confirmation,text,180
.text.host_l2cap_config_helper_remove_connection,text,52
.text.host_l2cap_config_helper_remove_cid,text,32
.text.l2cap_configure_helper_conn_confirm,text,150
.text.host_l2cap_config_helper_remove_all_connections,text,68
.text.host_l2cap_config_helper_shutdown,text,32
.text.l2cap_configure_response,text,344
.text.host_l2cap_config_build_config_req_pdu,text,70
.text.host_l2cap_config_send_config_req_pdu,text,78
.text.l2cap_configure,text,190
.text.l2cap_connect_ex,text,288
.text.l2cap_connect_response,text,112
.text.l2_disconnect,text,98
.text.l2cap_ping,text,160
.text.l2cap_getinfo,text,132
.text.l2cap_incoming_access_request_callback,text,156
.text.l2cap_outgoing_access_request_callback,text,110
.text.host_l2cap_get_extended_features,text,10
.text.host_l2cap_connect_request_handler,text,304
.text.host_l2cap_connect_response_handler,text,148
.text.host_l2cap_configure_request_handler,text,236
.text.host_l2cap_configure_response_handler,text,320
.text.host_l2cap_connect_lp_connect_cfm,text,640
.text.l2cap_get_info_cb,text,176
.text.host_l2cap_information_response_handler,text,324
.text.host_l2cap_connect_incoming_pdu,text,596
.text.host_l2cap_connect_disconnect_ind,text,86
.rodata.__func__.13596,rodata,17
.rodata.__func__.13772,rodata,34
.rodata.host_l2cap_connect_incoming_pdu.str1.1,rodata,36
.rodata.host_l2cap_connect_lp_connect_cfm.str1.1,rodata,33
.rodata.l2cap_connect_ex.str1.1,rodata,23
.text.host_l2cap_enc_insert_options,text,214
.text.host_l2cap_enc_get_options,text,396
.text.l2cap_encode_packet,text,836
.text.host_l2cap_decode_packet,text,1064
.text.host_l2cap_enc_derive_identifier,text,24
.text.host_l2cap_enc_set_cur_ident,text,12
.text.host_l2cap_pkt_handler,text,176
.text.host_l2cap_psm_get_module_id,text,114
.text.l2cap_send_ack,text,24
.text.host_l2cap_sar_data_ind,text,1024
.text.host_l2cap_sar_data_req,text,284
.rodata.__func__.11704,rodata,24
.rodata.host_l2cap_sar_data_ind.str1.1,rodata,234
.rodata.host_l2cap_sar_data_req.str1.1,rodata,122
.text.l2cap_layer_startup,text,68
.text.l2cap_layer_shutdown,text,112
.text.bt_tol2connect_lp_timerout,text,52
.text.host_l2cap_utils_addr_match,text,56
.text.host_l2cap_utils_set_bd_addr,text,6
.text.host_l2cap_layer_ctrl,text,34
.text.bt_l2cap_module_msg_dispatch,text,136
.text.host_l2cap_utils_out_mtu,text,22
.text.l2cap_get_write_buffer,text,8
.text.l2cap_write,text,24
.text.l2cap_free_write_buffer,text,10
.text.l2cap_retrieve_handle,text,22
.text.list_new,text,20
.text.list_is_empty,text,10
.text.list_length,text,4
.text.list_front,text,6
.text.list_append,text,42
.text.list_foreach,text,30
.text.list_begin,text,4
.text.list_end,text,4
.text.list_next,text,4
.text.list_node,text,4
.text.list_free_node,text,22
.text.list_remove,text,78
.text.list_clear,text,26
.text.list_free,text,8
.text.bt_assert,text,2
.text.mgr_set_scan_mode,text,92
.text.bt_manager_layer_shutdown,text,64
.text.bt_mgr_get_local_feature,text,8
.text.bt_mgr_get_dut_mode,text,12
.text.mgr_get_local_bd_address,text,16
.text.mgr_set_inquiry_and_page_scan_mode,text,176
.text.mgr_set_discoverable_mode,text,28
.text.mgr_get_state,text,16
.text.bt_mgr_set_state,text,20
.text.mgr_enable_dut,text,46
.text.bt_manager_layer_ctrl,text,112
.text.mgr_check_iaclap,text,72
.text.mgr_write_pagescan_parameters,text,42
.text.mgr_generate_eir,text,100
.text.mgr_change_localname,text,72
.text.bt_mgr_handle_information_event,text,448
.text.bt_manager_module_msg_dispatch,text,184
.text.mgr_set_advert_data,text,52
.text.mgr_set_scanrsp_data,text,56
.text.ble_enable_adv,text,36
.text.ble_set_scanrsp_data,text,64
.text.mgr_set_advert_mode,text,332
.text.mgr_get_own_addr_type,text,20
.text.mgr_set_own_addr_type,text,12
.text.mgr_set_direct_addr,text,32
.text.mgr_le_get_own_address,text,44
.text.mgr_le_set_direct_addr,text,36
.text.mgr_le_set_advert_mode,text,36
.text.mgr_le_set_adv_intval,text,24
.text.ble_stack_set_adv_data,text,64
.text.mgr_le_get_bond_mode,text,12
.text.mgr_le_get_sec_level,text,12
.text.mgr_le_privacy_support,text,12
.text.mgr_le_resolving_list_handler,text,180
.text.mgr_read_local_resolving_list_handler,text,68
.rodata.__func__.13801,rodata,35
.rodata.__func__.13957,rodata,32
.rodata.bt_manager_module_msg_dispatch.str1.1,rodata,63
.rodata.bt_mgr_handle_information_event.str1.1,rodata,94
.rodata.mgr_set_inquiry_and_page_scan_mode.str1.1,rodata,17
.text.mgr_get_next_devicerecord,text,104
.text.mgr_remove_device_record,text,44
.text.bt_mgr_initialise_devicelist,text,52
.text.bt_shutdown_devicelist,text,28
.text.bt_mgr_find_device_entryby_address,text,64
.text.bt_mgr_remove_device_byflag,text,136
.text.bt_mgr_get_unused_entry,text,108
.text.bt_mgr_add_device_entry,text,60
.text.bt_mgr_return_deviceentrybyaddress,text,36
.text.bt_mgr_inquiry_complete,text,68
.text.bt_init_inquiry,text,16
.text.bt_shutdown_inquiry,text,2
.text.mgr_inquiry_cancel,text,124
.text.bt_mgr_name_normal_request,text,46
.text.mgr_get_remote_name,text,80
.text.bt_mgr_start_inquiry,text,92
.text.mgr_inquiry,text,64
.text.bt_mgr_inquiry_timeout,text,56
.text.bt_mgr_handle_inquiry_event,text,832
.text.bt_mgr_le_initialise_devlist,text,96
.text.bt_mgr_le_get_device_list,text,156
.text.bt_mgr_le_restore_device_list,text,512
.text.bt_mgr_le_shutdown_devlist,text,64
.text.mgr_le_find_dev_entry_by_address,text,204
.text.bt_mgr_le_get_unused_entry,text,96
.text.bt_mgr_le_add_deventry,text,112
.text.mgr_le_return_dev_entry_by_address,text,132
.text.bt_mgr_le_initialise_linklist,text,96
.text.bt_mgr_le_free_all_linklist,text,112
.text.alloc_le_acl_link,text,140
.text.mgr_le_get_dev_entry_by_handle,text,164
.text.mgr_le_get_address_by_handle,text,72
.text.mgr_le_create_acl,text,320
.text.mgr_le_create_acl_ext,text,356
.text.mgr_le_disconnect_acl,text,108
.text.mgr_le_release_acl,text,72
.text.bt_mgr_le_update_conn_parameter,text,112
.text.mgr_le_start_encryption,text,132
.text.bt_mgr_le_find_ida_entry,text,208
.text.bt_mgr_le_find_rpa_entry,text,364
.text.bt_le_remote_param_request_handler,text,148
.text.bt_mgr_le_handle_link_event,text,1916
.rodata.__func__.13815,rodata,29
.rodata.__func__.13822,rodata,26
.rodata.__func__.13836,rodata,30
.rodata.__func__.13858,rodata,27
.rodata.__func__.13865,rodata,33
.rodata.__func__.13876,rodata,27
.rodata.__func__.13884,rodata,23
.rodata.__func__.13889,rodata,35
.rodata.__func__.13906,rodata,30
.rodata.__func__.13915,rodata,28
.rodata.__func__.13925,rodata,18
.rodata.__func__.13935,rodata,31
.rodata.__func__.13954,rodata,29
.rodata.__func__.13973,rodata,18
.rodata.__func__.13999,rodata,22
.rodata.__func__.14013,rodata,22
.rodata.__func__.14028,rodata,19
.rodata.__func__.14049,rodata,32
.rodata.__func__.14055,rodata,24
.rodata.__func__.14066,rodata,25
.rodata.__func__.14079,rodata,25
.rodata.__func__.14111,rodata,26
.rodata.__func__.14134,rodata,35
.rodata.__func__.14138,rodata,25
.rodata.__func__.14143,rodata,24
.rodata.__func__.14149,rodata,25
.rodata.__func__.14183,rodata,32
.rodata.__func__.14192,rodata,28
.rodata.alloc_le_acl_link.str1.1,rodata,48
.rodata.bt_mgr_le_find_ida_entry.str1.1,rodata,153
.rodata.bt_mgr_le_find_rpa_entry.str1.1,rodata,195
.rodata.bt_mgr_le_get_device_list.str1.1,rodata,39
.rodata.bt_mgr_le_handle_link_event.str1.1,rodata,725
.rodata.bt_mgr_le_initialise_devlist.str1.1,rodata,17
.rodata.bt_mgr_le_restore_device_list.str1.1,rodata,227
.rodata.bt_mgr_le_update_conn_parameter.str1.1,rodata,92
.rodata.mgr_le_create_acl.str1.1,rodata,32
.rodata.mgr_le_create_acl_ext.str1.1,rodata,88
.rodata.mgr_le_find_dev_entry_by_address.str1.1,rodata,124
.rodata.mgr_le_get_dev_entry_by_handle.str1.1,rodata,103
.rodata.mgr_le_return_dev_entry_by_address.str1.1,rodata,35
.text.bt_init_le_scan,text,16
.text.bt_mgr_le_store_ext_scan_entry,text,84
.text.bt_mgr_le_handle_scan_event,text,136
.rodata.__func__.12728,rodata,28
.rodata.__func__.12772,rodata,31
.rodata.bt_mgr_le_handle_scan_event.str1.1,rodata,55
.rodata.bt_mgr_le_store_ext_scan_entry.str1.1,rodata,66
.text.bt_mgr_initialise_linklist,text,68
.text.bt_mgr_free_all_linklist,text,52
.text.alloc_acl_link,text,172
.text.bt_mgr_create_acl,text,272
.text.mgr_setvoicesetting_config,text,28
.text.mgr_setup_synchronous,text,164
.text.mgr_connect_acceptrsp,text,74
.text.bt_mgr_get_device_entry_byhandle,text,100
.text.bt_mgr_release_acl,text,84
.text.bthost_mgr_release_all_acl,text,136
.text.bt_link_sniff_timeout,text,246
.text.mgr_release_acl,text,6
.text.bt_update_sniff_timer,text,188
.text.mgr_release_synchronous,text,92
.text.bt_mgr_update_flush_timeout,text,152
.text.bt_mgr_update_linksupervision_timeout,text,112
.text.bt_mgr_handle_hci_evmodechange,text,144
.text.bt_mgr_get_address_byhandle,text,32
.text.bt_mgr_set_link_timeout,text,80
.text.bt_mgr_read_raw_rssi,text,56
.text.bt_set_have_one_link,text,12
.text.bt_mgr_handle_link_event,text,3024
.text.mgr_exit_all_sniff,text,64
.text.bt_mgr_set_linkpolicy,text,56
.rodata.bt_mgr_handle_link_event.str1.1,rodata,275
.rodata.zero_addr,rodata,6
.text.process_encryption_request,text,102
.text.process_access_request,text,384
.text.io_capability_reply,text,180
.text.access_request_complete,text,74
.text.mgr_init_bonding,text,248
.text.mgr_register_service_securitylevel,text,60
.text.mgr_outgoing_access_request,text,68
.text.mgr_incoming_access_request,text,68
.text.mgr_pin_response,text,76
.text.mgr_oob_data_response,text,28
.text.mgr_passkey_response,text,72
.text.mgr_confirm_response,text,58
.text.mgr_set_pairing_mode,text,20
.text.bt_mgr_auth_retry,text,40
.text.mgr_linkkey_response,text,332
.text.bt_mgr_handle_security_hcievent,text,1888
.rodata.__func__.12294,rodata,17
.rodata.__func__.12441,rodata,32
.rodata.bt_mgr_handle_security_hcievent.str1.1,rodata,130
.rodata.io_capability_reply.str1.1,rodata,61
.rodata.mgr_init_bonding.str1.1,rodata,34
.text.bt_mgr_copy_bd_address,text,6
.text.bt_mgr_hci2bt_error,text,40
.text.osi_mutex_new,text,22
.text.osi_mutex_lock,text,24
.text.osi_mutex_unlock,text,12
.text.osi_mutex_free,text,16
.text.btnpi_if_dut_mode_disable_cb,text,24
.text.btnpi_if_dut_set_txpwr_cb,text,20
.text.btnpi_if_dut_set_rxgain_cb,text,20
.text.btnpi_if_le_test_end_cb,text,20
.text.btnpi_if_set_nonsing_tx_test_enable_cb,text,24
.text.btnpi_if_set_nonsing_tx_test_disable_cb,text,24
.text.btnpi_if_set_nonsing_rx_test_enable_cb,text,24
.text.btnpi_if_set_nonsing_rx_test_disable_cb,text,24
.text.btnpi_if_get_nonsing_rx_data_cb,text,112
.text.btnpi_if_get_nonsing_le_rx_data_cb,text,112
.text.btnpi_if_le_receiver_test_v1_cb,text,20
.text.btnpi_if_le_receiver_test_v2_cb,text,20
.text.btnpi_if_le_receiver_test_v3_cb,text,20
.text.btnpi_if_le_transmitter_test_v1_cb,text,20
.text.btnpi_if_le_transmitter_test_v2_cb,text,20
.text.btnpi_if_le_transmitter_test_v3_cb,text,20
.text.btnpi_if_le_transmitter_test_v4_cb,text,20
.text.btnpi_if_set_rf_path_cb,text,20
.text.btnpi_if_get_rf_path_cb,text,24
.text.npi_if_init,text,12
.text.btnpi_dut_test_req,text,72
.text.npi_generate_command,text,72
.text.btnpi_send_hci_cmd,text,44
.text.btnpi_if_dut_set_txpwr,text,40
.text.btnpi_if_dut_set_rxgain,text,32
.text.btnpi_if_le_test_end,text,20
.text.btnpi_if_set_nonsing_tx_test_mode,text,468
.text.btnpi_if_set_nonsing_rx_test_mode,text,420
.text.btnpi_if_get_nonsing_rx_data,text,20
.text.btnpi_if_get_nonsing_le_rx_data,text,20
.text.btnpi_if_le_receiver_test_v1,text,72
.text.btnpi_if_le_receiver_test_v2,text,92
.text.btnpi_if_le_receiver_test_v3,text,152
.text.btnpi_if_le_transmitter_test_v1,text,92
.text.btnpi_if_le_transmitter_test_v2,text,104
.text.btnpi_if_le_transmitter_test_v3,text,152
.text.btnpi_if_le_transmitter_test_v4,text,172
.text.btnpi_if_set_rf_path,text,32
.text.btnpi_if_get_rf_path,text,20
.text.btnpi_dut_mode_enable_handle,text,224
.text.btnpi_dut_mode_enable_cb,text,44
.text.btnpi_hci_set_event_filter,text,64
.text.btnpi_if_dut_mode_configure,text,76
.text.get_btnpi_interface,text,8
.rodata.__FUNCTION__.9609,rodata,34
.rodata.__FUNCTION__.9631,rodata,34
.rodata.__func__.9668,rodata,29
.rodata.__func__.9680,rodata,29
.rodata.__func__.9697,rodata,29
.rodata.__func__.9709,rodata,32
.rodata.__func__.9722,rodata,32
.rodata.__func__.9739,rodata,32
.rodata.__func__.9757,rodata,32
.rodata.__func__.9780,rodata,19
.rodata.btnpi_dut_test_req.str1.1,rodata,4
.rodata.btnpi_if_dut_mode_configure.str1.1,rodata,25
.rodata.btnpi_if_le_receiver_test_v1.str1.1,rodata,20
.rodata.btnpi_if_le_receiver_test_v2.str1.1,rodata,59
.rodata.btnpi_if_le_receiver_test_v3.str1.1,rodata,157
.rodata.btnpi_if_le_transmitter_test_v1.str1.1,rodata,53
.rodata.btnpi_if_le_transmitter_test_v2.str1.1,rodata,66
.rodata.btnpi_if_le_transmitter_test_v3.str1.1,rodata,143
.rodata.btnpi_if_le_transmitter_test_v4.str1.1,rodata,167
.rodata.btnpi_if_set_nonsing_rx_test_mode.str1.1,rodata,97
.rodata.btnpi_if_set_nonsing_tx_test_mode.str1.1,rodata,170
.rodata.btnpi_int_interface,rodata,76
.text.osi_init,text,10
.text.p_256_init_curve,text,488
.text.ECC_Double,text,274
.text.ECC_Add,text,332
.text.ECC_PointMult_Bin_NAF,text,380
.text.multiprecision_init,text,18
.text.multiprecision_copy,text,22
.text.multiprecision_compare,text,36
.text.multiprecision_iszero,text,24
.text.multiprecision_dword_bits,text,18
.text.multiprecision_most_signdwords,text,18
.text.multiprecision_most_signbits,text,34
.text.multiprecision_add,text,56
.text.multiprecision_sub,text,48
.text.multiprecision_rshift,text,30
.text.multiprecision_add_mod,text,72
.text.multiprecision_sub_mod,text,56
.text.multiprecision_lshift,text,32
.text.multiprecision_lshift_mod,text,68
.text.multiprecision_mult,text,102
.text.multiprecision_fast_mod,text,436
.text.multiprecision_fast_mod_P256,text,1044
.text.multiprecision_mersenns_mult_mod,text,44
.text.multiprecision_mersenns_squa_mod,text,8
.text.multiprecision_inv_mod,text,336
.text.pingback,text,12
.text.avdtp_if_get_all_capabilities,text,40
.text.avdtp_if_discover,text,36
.text.avdtp_if_reconfigure,text,124
.text.avdtp_if_start_streaming,text,46
.text.avdtp_if_close_streaming,text,44
.text.avdtp_if_suspend_streaming,text,46
.text.avdtp_if_abort_streaming,text,44
.text.l2cap_if_connect,text,122
.text.l2cap_if_disconnect,text,10
.text.l2cap_if_send_data,text,48
.text.l2cap_if_ping,text,32
.text.smp_create_timer,text,20
.text.smp_kill_timer,text,10
.text.smp_if_set_timer_func,text,16
.text.gatt_server_service_change,text,224
.text.get_btpts_interface,text,8
.rodata.btpts_int_interface,rodata,52
.text.bt_rfcomm_ue_get_write_buffer,text,66
.text.bt_rfcomm_ue_release_write_buffer,text,10
.text.bt_rfcomm_l2cap_inst_cmp,text,8
